iterations,fitness,time,fevals
0,19.0,0.000616681,559
10,20.0,0.001178373,1014
20,20.0,0.001615154,1473
30,22.0,0.002042437,1931
40,22.0,0.002514825,2385
50,21.0,0.002965562,2851
60,22.0,0.003599948,3296
70,22.0,0.004021078,3753
80,24.0,0.004470253,4224
90,25.0,0.004907596,4682
100,25.0,0.005521801,5133
110,27.0,0.006530378,5600
120,26.0,0.007021933,6053
130,27.0,0.007482892,6512
140,26.0,0.00815248,6964
150,26.0,0.00857866,7422
160,30.0,0.00906427,7869
170,28.0,0.009478197,8320
180,28.0,0.009947673,8777
190,29.0,0.01039667,9224
200,30.0,0.010823396,9671
210,30.0,0.011269539,10137
220,32.0,0.011770514,10597
230,34.0,0.012297409,11053
240,37.0,0.012718446,11504
250,37.0,0.013125,11963
260,38.0,0.013511434,12407
270,40.0,0.01440033,12861
280,40.0,0.015243583,13310
290,40.0,0.015602678,13760
300,40.0,0.016001565,14231
310,41.0,0.016438391,14703
320,42.0,0.016834414,15166
330,42.0,0.017333748,15614
340,42.0,0.017724044,16062
350,40.0,0.018131978,16518
360,40.0,0.018557196,16971
370,41.0,0.01904541,17431
380,41.0,0.019572516,17888
390,41.0,0.019982079,18353
400,42.0,0.020720295,18798
410,42.0,0.021122809,19253
420,42.0,0.021696401,19714
430,42.0,0.022098423,20175
440,42.0,0.022548257,20646
450,45.0,0.022959032,21094
460,45.0,0.023726866,21554
470,43.0,0.024115819,22025
480,44.0,0.024603774,22493
490,44.0,0.024955669,22948
500,42.0,0.025308868,23383
510,42.0,0.025691434,23823
520,42.0,0.026094581,24284
530,43.0,0.026510684,24752
540,47.0,0.026917143,25203
550,48.0,0.027304238,25635
560,48.0,0.027700237,26082
570,48.0,0.028073066,26536
580,48.0,0.028512084,27009
590,49.0,0.028904847,27455
600,48.0,0.029289749,27893
610,51.0,0.029781867,28326
620,48.0,0.030359438,28788
630,51.0,0.030910404,29251
640,49.0,0.031357197,29709
650,51.0,0.031759384,30160
660,51.0,0.032244985,30614
670,55.0,0.032757591,31071
680,55.0,0.033168371,31513
690,54.0,0.033676022,31977
700,55.0,0.034737444,32422
710,57.0,0.03566477,32866
720,55.0,0.036554196,33328
730,55.0,0.03757939,33778
740,56.0,0.038496999,34240
750,59.0,0.03945848,34698
760,60.0,0.040673037,35152
770,61.0,0.041698509,35596
780,60.0,0.042990632,36043
790,60.0,0.044164692,36506
800,61.0,0.045654937,36964
810,62.0,0.046534424,37428
820,63.0,0.04737699,37904
830,62.0,0.048203855,38362
840,63.0,0.049056087,38819
850,63.0,0.050097395,39279
860,61.0,0.051083193,39735
870,61.0,0.051980393,40183
880,61.0,0.053458958,40626
890,62.0,0.054566274,41085
900,60.0,0.055459831,41535
910,60.0,0.056437883,42003
920,62.0,0.057516796,42449
930,61.0,0.058810732,42895
940,60.0,0.059677483,43349
950,61.0,0.060517494,43821
960,61.0,0.061366516,44288
970,63.0,0.062230457,44732
980,64.0,0.063139492,45192
990,64.0,0.064273633,45649
1000,65.0,0.065213074,46104
