iterations,fitness,time,fevals
0,21.0,0.087402846,1000
10,27.0,0.173405993,2100
20,33.0,0.248183185,3200
30,37.0,0.322904973,4300
40,45.0,0.391818216,5400
50,51.0,0.452448737,6500
60,48.0,0.514845954,7600
70,48.0,0.586858745,8700
80,48.0,0.648753183,9800
90,47.0,0.710117306,10900
100,48.0,0.764753852,12000
110,47.0,0.823020678,13100
120,50.0,0.891421896,14200
130,49.0,0.951105012,15300
140,49.0,1.005923594,16400
150,48.0,1.068702987,17500
160,48.0,1.13009057,18600
170,48.0,1.188871864,19700
180,54.0,1.247537148,20800
190,48.0,1.309041494,21900
200,47.0,1.373776753,23000
210,48.0,1.434341049,24100
220,48.0,1.491538978,25200
230,48.0,1.555877882,26300
240,48.0,1.615017219,27400
250,48.0,1.669608781,28500
260,48.0,1.725361122,29600
270,48.0,1.780776913,30700
280,49.0,1.847296412,31800
290,49.0,1.902702315,32900
300,49.0,1.963815518,34000
310,49.0,2.025551099,35100
320,50.0,2.084845826,36200
330,49.0,2.14375352,37300
340,49.0,2.201865649,38400
350,49.0,2.257670886,39500
360,50.0,2.317081367,40600
370,50.0,2.380533792,41700
380,49.0,2.441804221,42800
390,50.0,2.499831652,43900
400,55.0,2.560865217,45000
410,51.0,2.621622697,46100
420,50.0,2.676098678,47200
430,53.0,2.734296871,48300
440,50.0,2.793331012,49400
450,50.0,2.856471387,50500
460,50.0,2.918313314,51600
470,53.0,2.977423879,52700
480,50.0,3.036968359,53800
490,52.0,3.095367954,54900
500,54.0,3.153257909,56000
510,53.0,3.216695197,57100
520,50.0,3.275512635,58200
530,54.0,3.334183603,59300
540,53.0,3.38845147,60400
550,50.0,3.44969614,61500
560,54.0,3.510016419,62600
570,53.0,3.56451903,63700
580,50.0,3.618761912,64800
590,50.0,3.676669053,65900
600,50.0,3.736142286,67000
610,53.0,3.796267467,68100
620,55.0,3.854343973,69200
630,50.0,3.917688195,70300
640,53.0,3.975933957,71400
650,50.0,4.032691561,72500
660,54.0,4.085516682,73600
670,54.0,4.144539118,74700
680,50.0,4.200272741,75800
690,50.0,4.264445495,76900
700,50.0,4.323060696,78000
710,50.0,4.384251139,79100
720,50.0,4.441404461,80200
730,53.0,4.498108442,81300
740,53.0,4.551752409,82400
750,53.0,4.611167911,83500
760,50.0,4.672991783,84600
770,51.0,4.728887215,85700
780,54.0,4.789012236,86800
790,55.0,4.848078442,87900
800,54.0,4.909662064,89000
810,54.0,4.967999801,90100
820,53.0,5.033421781,91200
830,58.0,5.096798776,92300
840,58.0,5.158983902,93400
850,54.0,5.21460015,94500
860,58.0,5.271348432,95600
870,55.0,5.336375242,96700
880,53.0,5.399641585,97800
890,56.0,5.45995809,98900
900,54.0,5.516245972,100000
910,59.0,5.575136798,101100
920,54.0,5.635336386,102200
930,54.0,5.691376335,103300
940,58.0,5.745125657,104400
950,59.0,5.809502949,105500
960,55.0,5.870517388,106600
970,54.0,5.930528138,107700
980,55.0,5.988656197,108800
990,54.0,6.048575763,109900
1000,53.0,6.110077615,111000
