iterations,fitness,time,fevals
0,18.0,1.2998e-05,11
10,18.0,2.5798e-05,21
20,18.0,3.6861e-05,31
30,18.0,4.8531e-05,41
40,18.0,5.9573e-05,51
50,18.0,8.4138e-05,61
60,18.0,0.000106963,71
70,18.0,0.000128015,81
80,18.0,0.000153803,91
90,19.0,0.000169217,101
100,19.0,0.000180928,111
110,19.0,0.000192184,121
120,19.0,0.00021061,131
130,19.0,0.000219919,141
140,19.0,0.000229063,151
150,19.0,0.000241742,161
160,19.0,0.000251222,171
170,19.0,0.000260202,181
180,20.0,0.000270141,191
190,20.0,0.000278594,201
200,20.0,0.000288049,211
210,21.0,0.000300448,221
220,21.0,0.000310299,231
230,21.0,0.000319693,241
240,21.0,0.000328879,251
250,21.0,0.000342227,261
260,21.0,0.000351411,271
270,21.0,0.000364107,281
280,21.0,0.00037551,291
290,21.0,0.000408244,301
300,21.0,0.000434041,311
310,21.0,0.000461491,321
320,21.0,0.000471802,331
330,21.0,0.000491231,341
340,21.0,0.000507491,351
350,21.0,0.00056158,361
360,23.0,0.000573843,371
370,23.0,0.000589183,381
380,23.0,0.000601864,391
390,23.0,0.000613086,401
400,23.0,0.000624267,411
410,23.0,0.000636049,421
420,23.0,0.00064643,431
430,23.0,0.000666537,441
440,23.0,0.000680741,451
450,24.0,0.000694618,461
460,24.0,0.000706328,471
470,24.0,0.000729636,481
480,24.0,0.000741187,491
490,25.0,0.000752751,501
500,25.0,0.000769514,511
510,25.0,0.000783363,521
520,25.0,0.00079711,531
530,25.0,0.00081237,541
540,25.0,0.000826846,551
550,25.0,0.000839806,561
560,25.0,0.000857501,571
570,25.0,0.000871675,581
580,25.0,0.000886441,591
590,25.0,0.000899621,601
600,25.0,0.000915214,611
610,28.0,0.000931869,621
620,28.0,0.000944081,631
630,28.0,0.000955101,641
640,28.0,0.000965793,651
650,28.0,0.000976606,661
660,28.0,0.001005728,671
670,28.0,0.001020357,681
680,28.0,0.001034298,691
690,28.0,0.001048644,701
700,28.0,0.00106288,711
710,28.0,0.001074645,721
720,28.0,0.001084428,731
730,28.0,0.001094387,741
740,29.0,0.001107405,751
750,31.0,0.00112118,761
760,31.0,0.001136682,771
770,31.0,0.001153311,781
780,31.0,0.001167333,791
790,34.0,0.001182194,801
800,34.0,0.001197268,811
810,35.0,0.001212608,821
820,36.0,0.001226884,831
830,36.0,0.001240367,841
840,37.0,0.001254044,851
850,37.0,0.001266644,861
860,37.0,0.001280525,871
870,37.0,0.001292918,881
880,37.0,0.001306699,891
890,37.0,0.00131998,901
900,37.0,0.001333755,911
910,38.0,0.001347984,921
920,38.0,0.001362061,931
930,38.0,0.001375747,941
940,38.0,0.001388275,951
950,38.0,0.001401484,961
960,38.0,0.00141724,971
970,38.0,0.001442689,981
980,38.0,0.001456614,991
990,38.0,0.001470018,1001
1000,38.0,0.00148563,1011
