iterations,fitness,time,fevals
0,14.0,2.3756e-05,11
10,14.0,4.0826e-05,21
20,14.0,5.8677e-05,31
30,14.0,7.6753e-05,41
40,14.0,9.0777e-05,51
50,14.0,0.00010327,61
60,16.0,0.000116828,71
70,16.0,0.000130137,81
80,17.0,0.00017824,91
90,18.0,0.00019046,101
100,18.0,0.000207205,111
110,18.0,0.000221117,121
120,18.0,0.00023576,131
130,18.0,0.000249888,141
140,18.0,0.000261773,151
150,19.0,0.00027465,161
160,19.0,0.000288491,171
170,19.0,0.00030846,181
180,19.0,0.000343794,191
190,20.0,0.000358813,201
200,20.0,0.000374031,211
210,20.0,0.000615294,221
220,20.0,0.000650397,231
230,23.0,0.000671248,241
240,23.0,0.000689355,251
250,23.0,0.000713814,261
260,24.0,0.000734586,271
270,24.0,0.000754785,281
280,24.0,0.000773882,291
290,24.0,0.000792425,301
300,24.0,0.000811054,311
310,24.0,0.000833903,321
320,24.0,0.000869285,331
330,24.0,0.000893278,341
340,24.0,0.000922147,351
350,26.0,0.000943939,361
360,26.0,0.000963338,371
370,27.0,0.000987152,381
380,27.0,0.001007066,391
390,27.0,0.001021314,401
400,27.0,0.001038533,411
410,27.0,0.001057645,421
420,27.0,0.001077998,431
430,27.0,0.001098433,441
440,27.0,0.001118841,451
450,27.0,0.001139161,461
460,27.0,0.001215108,471
470,27.0,0.001236357,481
480,27.0,0.001257574,491
490,27.0,0.00127871,501
500,27.0,0.001299996,511
510,27.0,0.001321131,521
520,27.0,0.001341605,531
530,27.0,0.00136789,541
540,27.0,0.001389847,551
550,27.0,0.001413806,561
560,27.0,0.001436059,571
570,27.0,0.001457352,581
580,27.0,0.001479113,591
590,27.0,0.001499785,601
600,27.0,0.001535859,611
610,27.0,0.001557222,621
620,27.0,0.001868209,631
630,27.0,0.001898573,641
640,27.0,0.001923228,651
650,27.0,0.001944409,661
660,27.0,0.001966068,671
670,27.0,0.001993191,681
680,27.0,0.002014292,691
690,27.0,0.002037105,701
700,27.0,0.002101892,711
710,27.0,0.002150745,721
720,27.0,0.002187393,731
730,27.0,0.002208775,741
740,27.0,0.002230059,751
750,27.0,0.002251463,761
760,27.0,0.002289201,771
770,27.0,0.00231492,781
780,27.0,0.002337754,791
790,27.0,0.002359847,801
800,28.0,0.002380558,811
810,29.0,0.002399139,821
820,29.0,0.002418634,831
830,29.0,0.002440693,841
840,35.0,0.002459073,851
850,35.0,0.002477263,861
860,35.0,0.002495113,871
870,35.0,0.002513158,881
880,35.0,0.002530689,891
890,35.0,0.002554855,901
900,35.0,0.002576682,911
910,35.0,0.002598109,921
920,35.0,0.002620892,931
930,35.0,0.002642067,941
940,35.0,0.002663974,951
950,35.0,0.002684513,961
960,35.0,0.002705114,971
970,35.0,0.002727823,981
980,35.0,0.002748788,991
990,35.0,0.002771649,1001
1000,35.0,0.002808957,1011
