iterations,fitness,time,fevals
0,0.033702383959,0.024471967,804
10,0.0439610963352,0.0341585649994,1501
20,0.0487186581404,0.0549496219992,2195
30,0.0530065423906,0.0678581819993,2883
40,0.055081326034,0.0813438979994,3575
50,0.0556395274348,0.0949008159996,4261
60,0.0551962001753,0.105675915,4957
70,0.0526877286876,0.115390897,5648
80,0.0596079631871,0.120563316,6327
90,0.0594739577257,0.125399323,7019
100,0.0660116610433,0.129051110001,7722
110,0.065776738762,0.133000726,8414
120,0.0654664198722,0.136835341001,9105
130,0.0682884981475,0.140191918001,9784
140,0.0747835777918,0.143675264,10490
150,0.0749189755031,0.146865954001,11173
160,0.0753764254743,0.149859367,11865
170,0.0743128651077,0.152886093,12569
180,0.0756516910928,0.155766929,13258
190,0.0790545336573,0.158636545,13949
200,0.0757062169333,0.16282456,14656
210,0.0774712902447,0.165950594,15349
220,0.0771846724868,0.172775635,16036
230,0.0790343757528,0.177876631,16751
240,0.0794957330366,0.185279424,17438
250,0.0764328976537,0.189266939001,18130
260,0.0820627681625,0.194051088001,18822
270,0.0757811029259,0.197534469002,19529
280,0.0781594822211,0.201367670002,20229
290,0.0725613391797,0.204675943001,20924
300,0.0740952691957,0.207962213001,21602
310,0.0710252396528,0.211249301002,22282
320,0.0745041161861,0.214770539002,22978
330,0.0839052197321,0.218039955002,23672
340,0.0776395746992,0.221561560002,24366
350,0.0731271110295,0.224914585002,25065
360,0.0715468725823,0.228578153003,25752
370,0.073006492626,0.232519749003,26445
380,0.0691491346863,0.236978818003,27152
390,0.075524267223,0.240960933003,27851
400,0.0709256410667,0.243991323003,28560
410,0.0736439346063,0.248425714003,29234
420,0.0778121225543,0.252386501003,29928
430,0.0780153354186,0.255439618004,30630
440,0.0744317796972,0.259092936004,31340
450,0.0684896561168,0.263735147005,32039
460,0.0758851375803,0.267138934005,32758
470,0.072896005637,0.271105344004,33450
480,0.0714249255938,0.275286726004,34158
490,0.0746973302772,0.278960200005,34853
500,0.0706743537438,0.283015080005,35541
510,0.0749278086846,0.287115243005,36236
520,0.0685895512787,0.290468798005,36937
530,0.0707602493387,0.294698135005,37624
540,0.0701970425036,0.298929610006,38336
550,0.0694623444341,0.302162847006,39043
560,0.0713030400695,0.305770199006,39741
570,0.0777027162098,0.310015033006,40441
580,0.0727907718328,0.312981615007,41140
590,0.072701264305,0.316413666007,41838
600,0.0773358296563,0.320220589007,42543
610,0.07529189035,0.323672388007,43244
620,0.070974164536,0.327301153007,43948
630,0.0725825558253,0.330680498007,44632
640,0.0724454813878,0.333854217008,45337
650,0.0692879718117,0.336941258008,46042
660,0.0627685140704,0.340652643008,46750
670,0.0668010006078,0.344234286008,47463
680,0.0696698950575,0.347589955008,48146
690,0.0715294002565,0.351368921008,48839
700,0.0773434711301,0.354999473007,49532
710,0.0748252533841,0.358288875007,50232
720,0.0674475705949,0.361699679007,50948
730,0.0713255778932,0.365381211007,51643
740,0.0852542963803,0.368906862007,52336
750,0.0743631683113,0.372311966007,53037
760,0.0770564224981,0.375603005007,53744
770,0.0804609600983,0.380174066007,54443
780,0.0793734289787,0.384825108008,55139
790,0.0890236897428,0.388572988008,55837
800,0.0874256903926,0.391608349008,56531
810,0.0835417014782,0.394688839009,57219
820,0.0864159223498,0.397640605009,57919
830,0.083420906255,0.400788824008,58604
840,0.0814889565846,0.403864077009,59300
850,0.0896263004148,0.406886506009,60001
860,0.0887968226091,0.409943972009,60698
870,0.0870284089272,0.413054679009,61400
880,0.0927344191386,0.415996435009,62082
890,0.098743895775,0.418935130009,62796
900,0.089333331946,0.423407201009,63482
910,0.0848888237779,0.428113367009,64190
920,0.0843524337583,0.432340421009,64889
930,0.0809542375688,0.435379355009,65577
940,0.0816073823225,0.439200476009,66288
950,0.078062081963,0.443015283009,66988
960,0.0773057599883,0.44625940601,67685
970,0.0735587724264,0.451578151009,68367
980,0.0767214318952,0.458032051009,69071
990,0.0737268706274,0.462499772009,69775
1000,0.0781444936461,0.46627785801,70465
